brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
smart driving school,0,0,1,0,0,2,0,1,0,0,0,0,4,3,False,True,Smart Driving School
reva,1,1,1,0,0,0,0,1,0,0,0,0,4,4,False,True,Reva
titan,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,TITAN
e es takuyaki,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,E ES TAKUYAKI
whoops,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,WHOOPS
kaiser medical center inc,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,KAISER MEDICAL CENTER INC
western appliance,0,2,0,0,0,2,0,0,0,0,0,0,4,2,False,True,WESTERN APPLIANCE
western appliances,1,0,1,1,0,0,1,0,0,0,0,0,4,4,False,True,Western Appliances
nanyang kopitiam,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,NANYANG KOPITIAM
lush,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,LUSH
bingo bonanza,0,0,0,0,0,0,0,2,2,0,0,0,4,2,False,True,BINGO BONANZA
nail cocktales,0,0,1,0,0,0,0,2,0,0,0,1,4,3,False,True,Nail Cocktales
advanced dentistry by dr james,0,0,1,0,0,0,0,0,3,0,0,0,4,2,False,True,ADVANCED DENTISTRY BY DR JAMES
nail addik,0,0,0,0,0,1,0,3,0,0,0,0,4,2,False,True,NAIL ADDIK
american tourister,1,2,0,0,0,0,0,1,0,0,0,0,4,3,False,True,American Tourister
passionails,0,1,1,0,0,0,1,0,1,0,0,0,4,4,False,True,PASSIONAILS
mac cosmetics,0,0,0,0,0,3,0,1,0,0,0,0,4,2,False,True,MAC Cosmetics
american eagle,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,AMERICAN EAGLE
amelitos sizzling house,0,0,0,0,0,0,0,2,0,0,2,0,4,2,False,True,AMELITO'S SIZZLING HOUSE
paradise dynasty,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,PARADISE DYNASTY
annipie,0,1,0,0,1,0,0,0,2,0,0,0,4,3,False,True,ANNIPIE
bigbys cafe and restaurant,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,BIGBY'S CAFE AND RESTAURANT
wenger,0,1,0,0,0,0,0,0,3,0,0,0,4,2,False,True,WENGER
ansons,0,2,0,0,0,0,2,0,0,0,0,0,4,2,False,True,ANSON'S
lucell,0,1,0,0,0,1,0,0,2,0,0,0,4,3,False,True,LUCELL
lto licensing office,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,LTO LICENSING OFFICE
nbi,0,0,0,0,0,0,0,1,1,1,0,1,4,4,False,True,NBI
ncat,0,0,0,0,0,0,0,2,1,1,0,0,4,3,False,True,NCAT
antonios coffee bibingka,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,ANTONIOS COFFEE BIBINGKA
love k derma,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,LOVE K-DERMA
wds,0,0,0,0,0,0,0,0,0,0,4,0,4,1,False,False,WDS
kangkong king,0,0,0,0,0,0,0,2,2,0,0,0,4,2,False,True,KANGKONG KING
kanzen sushi roll house,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,KANZEN SUSHI ROLL HOUSE
apple eve,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,APPLE EVE
apvil graphics and sign,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,APVIL GRAPHICS AND SIGN
aqua flask,0,0,1,1,0,0,1,1,0,0,0,0,4,4,False,True,Aqua Flask
juice avenue,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JUICE AVENUE
wolfgangs steakhouse,0,1,0,0,0,2,0,0,1,0,0,0,4,3,False,True,WOLFGANG’S STEAKHOUSE
ambika,0,0,0,0,0,0,0,0,0,0,4,0,4,1,False,False,Ambika
john lemon,0,0,0,0,0,0,1,1,2,0,0,0,4,3,False,True,JOHN LEMON
jims recipe,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JIMS RECIPE
bon chon chicken,0,0,0,0,1,0,0,0,3,0,0,0,4,2,False,True,BON CHON CHICKEN
jinjoo korean restaurant,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JINJOO KOREAN RESTAURANT
penshoppe box,0,0,0,0,0,0,0,0,0,0,0,4,4,1,False,False,PENSHOPPE BOX
aji ichiban,0,0,0,0,0,0,0,2,2,0,0,0,4,2,False,True,AJI ICHIBAN
jjjg seafood grill station,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JJJG SEAFOOD GRILL STATION
xoooom autospa,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,XOOOOM AUTOSPA
ajisen ramen,0,0,0,0,0,0,0,4,0,0,0,0,4,1,False,False,Ajisen Ramen
ms tanghulu,0,0,1,0,0,1,0,1,1,0,0,0,4,4,False,True,Ms. Tanghulu
manila diamond studio,0,1,1,0,0,0,0,0,2,0,0,0,4,3,False,True,MANILA DIAMOND STUDIO
bobbi brown,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,BOBBI BROWN
bmcjr lugaw republic,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,BMCJR LUGAW REPUBLIC
peanut world,0,0,0,0,0,0,0,2,1,0,0,1,4,3,False,True,Peanut World
pd & co,0,1,1,0,0,0,0,2,0,0,0,0,4,3,False,True,PD & Co.
mango tree cafe,0,0,0,0,0,0,1,0,3,0,0,0,4,2,False,True,MANGO TREE CAFE
n cat philippines,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,N.CAT PHILIPPINES
mango float supreme manila,0,0,0,1,0,0,0,1,2,0,0,0,4,3,False,True,Mango Float Supreme Manila
musicworx,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,MUSICWORX
all gadgets repair,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,ALL GADGETS REPAIR
alley by vikings,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,THE ALLEY BY VIKINGS
alley its time for tea,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,THE ALLEY ITS TIME FOR TEA
blind massage,0,1,0,0,0,0,0,3,0,0,0,0,4,2,False,True,BLIND MASSAGE
my dentist dental center,0,1,0,0,0,0,0,0,3,0,0,0,4,2,False,True,MY DENTIST DENTAL CENTER
pc chain superstore,0,0,1,0,0,0,0,0,3,0,0,0,4,2,False,True,PC CHAIN SUPERSTORE
makimura ramen bar,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,MAKIMURA RAMEN BAR
alter station,0,3,1,0,0,0,0,0,0,0,0,0,4,2,False,True,ALTER STATION
mail merge,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,MAIL MERGE
myeong ryun jinsa galbi,0,1,0,0,0,2,0,0,1,0,0,0,4,3,False,True,MYEONG RYUN JINSA GALBI
wonderbake,0,1,0,0,0,0,0,0,3,0,0,0,4,2,False,True,WONDERBAKE
wonder wharf,0,0,0,0,0,0,0,4,0,0,0,0,4,1,False,False,WONDER WHARF
big apple express spa,0,1,0,0,0,1,0,1,1,0,0,0,4,4,False,True,BIG APPLE EXPRESS SPA
aquabest,0,0,0,0,0,0,1,0,3,0,0,0,4,2,False,True,AQUABEST
tumi,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,TUMI
baliwag lechon manok,0,2,0,1,0,0,0,0,0,0,1,0,4,3,False,True,BALIWAG LECHON MANOK
beard papa,0,1,0,0,0,0,1,1,1,0,0,0,4,4,False,True,Beard Papa
old town white coffee,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,OLD TOWN WHITE COFFEE
land transportation office,0,0,0,1,0,0,0,1,1,1,0,0,4,4,False,True,LAND TRANSPORTATION OFFICE (LTO)
overdoughs,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,OVERDOUGHS
baby company,0,0,0,0,0,0,1,0,3,0,0,0,4,2,False,True,BABY COMPANY
la vie en rose,0,2,0,0,0,1,0,1,0,0,0,0,4,3,False,True,LA VIE EN ROSE
kingcorn,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,KINGCORN
la creperie,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,LA CREPERIE
onward,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,ONWARD
otto shoes,0,1,0,0,0,0,0,0,0,1,1,1,4,4,False,True,OTTO SHOES
otterbox,0,1,0,0,0,0,1,1,1,0,0,0,4,4,False,True,Otterbox
otter box,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,OTTER BOX
kuya js,0,0,0,1,0,3,0,0,0,0,0,0,4,2,False,True,Kuya J's
kitchen city,0,2,0,0,0,2,0,0,0,0,0,0,4,2,False,True,KITCHEN CITY
oshkosh bgosh,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,OSHKOSH B'GOSH
kims ramyun,0,1,0,1,0,0,0,1,1,0,0,0,4,4,False,True,KIM'S RAMYUN
optical works,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,OPTICAL WORKS
klean kanteen,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,KLEAN KANTEEN
baluan ilocos empanada,0,0,0,0,0,0,0,4,0,0,0,0,4,1,False,False,Baluan Ilocos Empanada
banana leaf,0,0,0,0,0,0,2,0,2,0,0,0,4,2,False,True,Banana Leaf
urbangiz,0,2,0,0,0,0,1,0,1,0,0,0,4,3,False,True,URBANGIZ
urban traveller,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,URBAN TRAVELLER
oraimo,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,ORAIMO
original biscocho haus,0,0,0,0,0,0,0,2,2,0,0,0,4,2,False,True,Original Biscocho Haus
basement salon,0,0,0,0,0,1,0,2,1,0,0,0,4,3,False,True,Basement Salon
krispy krust,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,KRISPY KRUST
barrio fiesta,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,BARRIO FIESTA
barenaked,0,0,1,0,0,2,1,0,0,0,0,0,4,3,False,True,Barenaked
uno factory outlet,0,0,0,0,0,0,0,0,0,0,2,2,4,2,False,True,UNO FACTORY OUTLET
original boat noodle,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,THE ORIGINAL BOAT NOODLE
b1t1 takeaway coffee,0,0,0,0,0,2,0,2,0,0,0,0,4,2,False,True,B1T1 TAKEAWAY COFFEE
lartizan,0,2,0,0,0,0,0,1,1,0,0,0,4,3,False,True,LARTIZAN
loccitane,0,2,0,0,0,0,1,0,1,0,0,0,4,3,False,True,L'OCCITANE
tylex,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,TYLEX
watami,0,0,1,0,0,3,0,0,0,0,0,0,4,2,False,True,Watami
nikkei robata,0,2,0,0,0,2,0,0,0,0,0,0,4,2,False,True,NIKKEI ROBATA
wash n dry,0,0,0,0,0,3,0,0,1,0,0,0,4,2,False,True,Wash N' Dry
beyond the vines,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,BEYOND THE VINES
wangfu chinese cafe,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,WANGFU CHINESE CAFE
army navy,0,0,0,0,0,2,1,0,0,0,1,0,4,3,False,True,Army Navy
turks express,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,TURKS EXPRESS
arrozcaldo republic,0,0,0,0,0,0,0,0,0,0,0,4,4,1,False,False,ARROZCALDO REPUBLIC
no strips waxing salon,0,1,0,0,0,0,0,1,2,0,0,0,4,3,False,True,NO STRIPS WAXING SALON
kathnails salon,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,KATHNAILS SALON
katsu sora,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,KATSU SORA
pandayan,0,0,0,0,0,0,0,0,0,0,0,4,4,1,False,False,PANDAYAN
lfafa,0,0,1,0,0,2,0,1,0,0,0,0,4,3,False,True,Lfafa
bershka,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,BERSHKA
lemon stop,0,0,0,0,0,2,0,0,2,0,0,0,4,2,False,True,Lemon Stop
kimono ken,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,KIMONO KEN
viptek,0,0,0,0,3,0,0,0,1,0,0,0,4,2,False,True,Viptek
legion,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,LEGION
villarica pawnshop,0,0,0,0,0,0,0,0,0,0,4,0,4,1,False,False,Villarica Pawnshop
automatic centre,2,0,1,0,0,0,0,0,1,0,0,0,4,3,False,True,Automatic Centre
ucc coffee shop,0,0,0,0,0,4,0,0,0,0,0,0,4,1,False,False,UCC Coffee Shop
khao khai,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,KHAO KHAI
av surfer,0,3,0,0,0,0,0,1,0,0,0,0,4,2,False,True,AV SURFER
belle la peau,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,BELLE LA PEAU
kiddie cart,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,KIDDIE CART
avida,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,AVIDA
padis point,0,0,0,0,0,0,0,2,0,2,0,0,4,2,False,True,PADI'S POINT
vice cosmetics,0,1,0,0,1,0,0,2,0,0,0,0,4,3,False,True,Vice Cosmetics
oishii maki,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,OISHII MAKI
las flores,0,1,0,0,0,1,0,0,2,0,0,0,4,3,False,True,LAS FLORES
mr jeff laundry,0,0,0,0,0,3,1,0,0,0,0,0,4,2,False,True,Mr. Jeff Laundry
oro italia fine jewelry,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,ORO ITALIA FINE JEWELRY
pet blvd grooming and shopping centre,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,PET BLVD. GROOMING AND SHOPPING CENTRE
bs mobile,0,0,0,0,1,0,0,1,1,0,0,1,4,4,False,True,BS Mobile
persian avenue,0,2,0,0,0,0,0,0,2,0,0,0,4,2,False,True,PERSIAN AVENUE
jaskey,0,0,0,0,0,0,0,2,2,0,0,0,4,2,False,True,JASKEY
mobius,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,MOBIUS
abe,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,ABE
adobo connection,0,0,0,0,3,0,0,1,0,0,0,0,4,2,False,True,Adobo Connection
isports,0,0,0,1,0,0,0,3,0,0,0,0,4,2,False,True,ISPORTS
tita paring suman latik,0,1,0,0,0,0,0,0,3,0,0,0,4,2,False,True,TITA PARING SUMAN LATIK
tj hotdog,0,0,0,1,0,0,1,1,0,0,0,1,4,4,False,True,TJ HOTDOG
ytelecom,0,1,0,0,1,0,0,0,2,0,0,0,4,3,False,True,YTELECOM
brow lounge eyebrow grooming & waxing,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,BROW LOUNGE EYEBROW GROOMING & WAXING
mobile blitz,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,MOBILE BLITZ
buddys,0,0,0,1,0,1,0,0,2,0,0,0,4,3,False,True,Buddy's
toni pons,0,0,0,0,0,0,1,1,2,0,0,0,4,3,False,True,TONI PONS
mitsubishi photo,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,MITSUBISHI PHOTO
moms ube & triple chocolate champorado,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,MOM'S UBE & TRIPLE CHOCOLATE CHAMPORADO
yogurtime,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,YOGURTIME
mlb,0,0,0,0,0,0,1,2,1,0,0,0,4,3,False,True,MLB
mikrocell,0,0,0,0,1,0,0,0,3,0,0,0,4,2,False,True,MIKROCELL
michaela lifestyle,1,0,0,0,0,0,0,1,0,2,0,0,4,3,False,True,MICHAELA LIFESTYLE
jb sports,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JB SPORTS
metro dental,0,2,0,0,0,1,0,0,1,0,0,0,4,3,False,True,METRO DENTAL
jacks lemonade,0,3,0,0,0,0,0,1,0,0,0,0,4,2,False,True,JACK'S LEMONADE
maxs,0,0,1,0,0,0,2,1,0,0,0,0,4,3,False,True,Max's
brow lounge,0,0,1,0,0,0,2,1,0,0,0,0,4,3,False,True,Brow Lounge
a 1 driving school,0,4,0,0,0,0,0,0,0,0,0,0,4,1,False,False,A-1 DRIVING SCHOOL
mixue,0,0,0,0,0,2,0,2,0,0,0,0,4,2,False,True,MIXUE
acom consumer finance corp,0,0,0,0,0,0,0,0,0,0,4,0,4,1,False,False,ACOM Consumer Finance Corp
jabra,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,JABRA
merrymart grocery,1,3,0,0,0,0,0,0,0,0,0,0,4,2,False,True,MERRYMART GROCERY
accenthub,0,0,0,0,0,0,0,0,4,0,0,0,4,1,False,False,ACCENTHUB
zeqi,0,0,0,0,0,0,0,1,3,0,0,0,4,2,False,True,ZEQI
michaela,0,1,0,0,0,0,0,0,3,0,0,0,4,2,False,True,MICHAELA
10 yen king,0,0,0,0,0,1,0,2,1,0,0,0,4,3,False,True,10 YEN KING
dr brows,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,DR. BROWS
storage corner,0,0,0,0,1,0,0,0,2,0,0,0,3,2,False,True,STORAGE CORNER
riam stick and print works,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,RIAM STICK AND PRINT WORKS
cold stone creamery,0,0,1,0,0,1,0,1,0,0,0,0,3,3,False,True,Cold Stone Creamery
automatic center,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,AUTOMATIC CENTER
octagon mobile,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,OCTAGON MOBILE
octagon computer superstore,1,0,0,0,1,0,0,1,0,0,0,0,3,3,False,True,Octagon Computer Superstore
rgm i care cellphone repair and accessories,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,RGM I CARE CELLPHONE REPAIR AND ACCESSORIES
gintell rest n go,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GINTELL REST N GO
lechon belly kitchen,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LECHON BELLY KITCHEN
ocean city,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,Ocean City
el torogi,0,0,0,0,0,0,0,0,0,0,0,3,3,1,False,False,EL TOROGI
mi yummy mango,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,MI YUMMY MANGO
diamond palace,0,0,0,0,2,0,0,0,1,0,0,0,3,2,False,True,Diamond Palace
coffee brewtherhood,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,COFFEE BREWTHERHOOD
ml kwarta padala,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,ML KWARTA PADALA
glow up beauty lounge,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,GLOW UP BEAUTY LOUNGE
lawson convenience store,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,LAWSON CONVENIENCE STORE
lay bare plus,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LAY BARE PLUS
glosslab,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GLOSSLAB
coco fresco,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,COCO FRESCO
oh my chicken,0,0,0,0,0,2,0,1,0,0,0,0,3,2,False,True,Oh My Chicken
victoria mondiale,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,VICTORIA MONDIALE
coconut republic,0,0,1,0,0,0,0,0,2,0,0,0,3,2,False,True,COCONUT REPUBLIC
gizmo hub,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Gizmo Hub
odysseus suarez wedding rings,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,ODYSSEUS SUAREZ WEDDING RINGS
zhen bao hotpot,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,ZHEN BAO HOTPOT
zga,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,ZGA
lego certified store,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,LEGO CERTIFIED STORE
mich & myl nails,0,0,0,0,0,1,1,1,0,0,0,0,3,3,False,True,Mich & Myl Nails
strokes,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,STROKES
stride & stroke,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,STRIDE & STROKE
audio refinery,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,AUDIO REFINERY
vise versa,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Vise Versa
electronics boutique,0,0,1,0,0,1,0,0,0,0,1,0,3,3,False,True,The Electronics Boutique
geek ph,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,GEEK PH
lifewell,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LIFEWELL
vs lugaw king,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,VS LUGAW KING
ritas ice custard happiness,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,RITAS ICE CUSTARD HAPPINESS
generic pharmacy,0,0,0,0,1,0,0,1,0,0,0,1,3,3,False,True,The Generic Pharmacy
statech,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,STATECH
limon citrus juicery,0,0,0,0,0,1,0,0,2,0,0,0,3,2,False,True,LIMON CITRUS JUICERY
waffle house,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,WAFFLE HOUSE
lionesse,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LIONESSE
cookies by the bucket,0,0,0,0,0,1,0,2,0,0,0,0,3,2,False,True,Cookies By The Bucket
coolectzone,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,COOLECTZONE
gigahertz,0,0,1,0,0,0,1,1,0,0,0,0,3,3,False,True,Gigahertz
little farmers,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,LITTLE FARMERS
gateway motors,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GATEWAY MOTORS
gashapon bandai,0,0,0,0,0,0,1,0,2,0,0,0,3,2,False,True,GASHAPON BANDAI
little manila,0,0,0,0,0,2,0,0,1,0,0,0,3,2,False,True,Little Manila
messy bessy,0,1,0,0,0,0,0,2,0,0,0,0,3,2,False,True,MESSY BESSY
shanghai siomai,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Shanghai Siomai
nissan,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,NISSAN
mobile extras technologies,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MOBILE EXTRAS TECHNOLOGIES
nisce skin n face,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,NISCE SKIN N FACE
noon talk nail lounge,0,2,0,0,0,0,0,1,0,0,0,0,3,2,False,True,NOON TALK NAIL LOUNGE
life fitness,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,LIFE FITNESS
shawarma king,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,SHAWARMA KING
mobile armory,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MOBILE ARMORY
mn la,1,0,0,0,0,0,1,0,1,0,0,0,3,3,False,True,MN+LA
giga,0,0,0,0,0,0,1,1,1,0,0,0,3,3,False,True,Giga
numi wellness,0,0,0,0,0,1,0,0,2,0,0,0,3,2,False,True,NUMI WELLNESS
7luxe,1,0,0,0,0,1,0,0,1,0,0,0,3,3,False,True,7LUXE
sticks and strings,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,STICKS AND STRINGS
gibi shoes,0,0,0,0,1,1,0,0,0,0,0,1,3,3,False,True,Gibi Shoes
atc massage chair,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,ATC Massage Chair
via mare,0,0,0,0,0,0,2,1,0,0,0,0,3,2,False,True,Via Mare
elevator,0,0,0,0,0,0,3,0,0,0,0,0,3,1,False,False,Elevator
combotech,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,COMBOTECH
leona,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,LEONA
novagen eye center,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,NOVAGEN EYE CENTER
leylam deluxe,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,Leylam Deluxe
metro supermarket,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,METRO SUPERMARKET
lfafa massage chairs,0,2,0,1,0,0,0,0,0,0,0,0,3,2,False,True,LFAFA MASSAGE CHAIRS
vmv hypoallergenics,0,1,0,0,0,0,1,0,1,0,0,0,3,3,False,True,VMV HYPOALLERGENICS
liberty wings,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,LIBERTY WINGS
concentrix,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,CONCENTRIX
ristorante bigoli,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,RISTORANTE BIGOLI
ayers lechon,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,AYER’S LECHON
go mango,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GO MANGO
renovar,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,RENOVAR
kuulaa,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,KUULAA
chooks to go,0,1,0,0,0,0,0,1,0,0,1,0,3,3,False,True,CHOOKS TO GO
urbanessence beauty wellness spa,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,URBANESSENCE BEAUTY WELLNESS SPA
urbanista,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,URBANISTA
kurimu,0,0,0,0,0,1,1,0,1,0,0,0,3,3,False,True,Kurimu
mitsubishi motors,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MITSUBISHI MOTORS
kusinang pinoy,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,KUSINANG PINOY
sibyullee flavors of seoul,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SIBYULLEE FLAVORS OF SEOUL
siapno tada optical,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,SIAPNO-TADA OPTICAL
razons,0,0,1,1,0,0,0,1,0,0,0,0,3,3,False,True,RAZON'S
du hsiao yueh,0,0,1,0,0,0,1,0,1,0,0,0,3,3,False,True,Du Hsiao Yueh
mitsubishi digital,0,0,0,0,3,0,0,0,0,0,0,0,3,1,False,False,Mitsubishi Digital
kuya j,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,KUYA J
oppo service center,0,1,1,0,0,0,0,0,1,0,0,0,3,3,False,True,OPPO SERVICE CENTER
miutiso,0,2,1,0,0,0,0,0,0,0,0,0,3,2,False,True,MIUTISO
balai pandesal,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,BALAI PANDESAL
dti,0,0,0,0,0,1,0,1,1,0,0,0,3,3,False,True,DTI
green fresh,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Green Fresh
green apple dental,0,2,0,0,0,1,0,0,0,0,0,0,3,2,False,True,GREEN APPLE DENTAL
cignal,0,0,0,0,1,0,0,2,0,0,0,0,3,2,False,True,Cignal
v jewelry,0,0,1,0,0,2,0,0,0,0,0,0,3,2,False,True,V! Jewelry
randys donuts,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Randy's Donuts
