chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
sm,sm-city-puerto-princesa,137,137,"shopping (40), cyberzone (40), dining (32)",SM City Puerto Princesa,south-luzon,19
ayala,ayala-harbor-point,135,129,"shop (67), dine (39), essentials (15)",Harbor Point,north-luzon,18
robinsons,robinsons-la-union,133,126,,Robinsons Place La Union,north-luzon,34
sm,sm-center-lemery,132,122,"shopping (34), cyberzone (31), dining (29)",SM Center Lemery,south-luzon,9
ayala,ayala-cloverleaf,129,124,"dine (68), shop (28), services (15)",Ayala Malls Cloverleaf,metro-manila,7
sm,sm-city-mindpro,128,128,"shopping (41), dining (39), cyberzone (26)",SM City Mindpro,mindanao,25
sm,sm-city-telabastagan,127,127,"dining (52), shopping (29), cyberzone (18)",SM City Telabastagan,north-luzon,3
robinsons,robinsons-north-tacloban,122,121,,Robinsons North Tacloban,visayas,36
sm,sm-city-roxas,122,122,"dining (35), shopping (31), cyberzone (18)",SM City Roxas,visayas,16
robinsons,opus,115,114,,Opus Mall,metro-manila,56
sm,sm-city-daet,114,113,"dining (41), shopping (27), cyberzone (22)",SM City Daet,south-luzon,11
sm,sm-center-dagupan,114,114,"dining (39), cyberzone (29), shopping (23)",SM Center Dagupan,north-luzon,7
robinsons,robinsons-tagum,113,110,,Robinsons Place Tagum,mindanao,39
sm,sm-city-rosario,113,113,"dining (38), cyberzone (24), shopping (24)",SM City Rosario,south-luzon,8
robinsons,robinsons-cybergate-cebu,111,109,,Robinsons Cybergate Cebu,visayas,86
sm,sm-city-bf-paranaque,110,110,"dining (32), cyberzone (28), shopping (21)",SM City BF Parañaque,metro-manila,5
sm,sm-jmall,108,108,"cyberzone (32), dining (29), shopping (25)",SM J Mall,visayas,19
gmall,gmall-of-digos,108,108,"retail (45), food (42), services (16)",GMall of Digos,mindanao,41
starmall,alabang,107,107,"shopping (39), services (33), dining (30)",Starmall Alabang,metro-manila,34
sm,sm-center-pulilan,107,106,"shopping (25), dining (20), cyberzone (16)",SM Center Pulilan,north-luzon,17
ayala,ayala-serin,106,100,"shop (44), dine (35), essentials (14)",Ayala Malls Serin,south-luzon,9
robinsons,robinsons-bacolod,106,103,,Robinsons Place Bacolod,visayas,33
robinsons,robinsons-las-pinas,106,104,,Robinsons Place Las Pinas,metro-manila,26
robinsons,robinsons-ormoc,104,104,,Robinsons Place Ormoc,visayas,16
sm,sm-center-angono,102,102,"dining (32), shopping (24), cyberzone (19)",SM Center Angono,metro-manila,4
xentro,balagtas-town-center,102,101,,Balagtas Town Center,,52
sm,sm-center-las-pinas,100,100,"dining (36), cyberzone (18), hobbies-and-specialty (15)",SM Center Las Piñas,metro-manila,6
sm,sm-center-tuguegarao-downtown,100,99,"shopping (25), dining (25), cyberzone (17)",SM Center Tuguegarao Downtown,north-luzon,11
araneta,farmers-plaza,100,98,,Farmers Plaza,metro-manila,51
sm,s-maison,99,91,"dining (39), shopping (20), wellness (11)",S Maison,metro-manila,43
sm,sm-center-ormoc,98,98,"dining (28), shopping (27), cyberzone (12)",SM Center Ormoc,visayas,13
robinsons,robinsons-sta-rosa,98,98,,Robinsons Sta. Rosa,south-luzon,61
starmall,san-jose-del-monte,98,98,"shopping (36), dining (32), services (25)",Starmall San Jose del Monte,north-luzon,25
robinsons,robinsons-jaro,97,96,,Robinsons Place Jaro,visayas,24
ayala,ayala-the-30th,92,92,"dine (43), shop (21), services (16)",Ayala Malls The 30th,metro-manila,7
megaworld,eastwood-city-walk,92,89,"dine (53), services (24), shop (14)",Eastwood City Walk,,34
robinsons,robinsons-roxas,92,90,,Robinsons Place Roxas,visayas,24
sm,sm-center-pasig,91,91,"dining (43), wellness (17), hobbies-and-specialty (11)",SM Center Pasig,metro-manila,18
araneta,ali-mall,88,88,,Ali Mall,metro-manila,38
robinsons,robinsons-malabon,88,88,,Robinsons Town Mall Malabon,metro-manila,24
robinsons,robinsons-antique,87,86,,Robinsons Place Antique,visayas,19
sm,sm-center-san-pedro,86,86,"dining (34), shopping (17), cyberzone (14)",SM Center San Pedro,south-luzon,3
robinsons,robinsons-pavia,84,83,,Robinsons Place Pavia,visayas,13
araneta,gateway-mall,81,79,,Gateway Mall,metro-manila,9
ayala,ayala-marikina,81,80,"dine (34), shop (19), services (13)",Ayala Malls Marikina,metro-manila,7
xentro,xentro-mall-calapan,79,79,,XentroMall Calapan,,76
xentro,xentro-mall-santiago,78,78,,XentroMall Santiago,,27
ayala,ayala-the-district-imus,78,76,"shop (28), dine (22), services (14)",The District Imus,south-luzon,11
megaworld,forbes-town,77,77,"dine (36), services (28), shop (13)",Forbes Town,,41
ayala,ayala-bonifacio-high-street,77,73,"dine (37), shop (35), services (3)",Bonifacio High Street,metro-manila,19
robinsons,robinsons-gen-san,75,71,,Robinsons Place GenSan,mindanao,31
sm,sm-center-muntinlupa,74,74,"dining (22), shopping (16), cyberzone (14)",SM Center Muntinlupa,metro-manila,2
robinsons,robinsons-fuente,72,69,,Robinsons Fuente,visayas,17
ayala,ayala-legazpi,72,69,"shop (34), dine (20), services (10)",Ayala Malls Legazpi,south-luzon,8
sm,sm-city-olongapo-downtown,71,70,"dining (22), cyberzone (14), shopping (10)",SM City Olongapo Downtown,north-luzon,7
ayala,ayala-pavilion,68,63,"shop (33), dine (18), services (13)",Pavilion Mall,south-luzon,14
xentro,xentro-mall-lemery,68,68,,XentroMall Lemery,,62
sm,sm-center-sangandaan,68,68,"dining (22), shopping (17), cyberzone (13)",SM Center Sangandaan,north-luzon,3
sm,sm-center-imus,67,67,"dining (22), shopping (14), cyberzone (11)",SM Center Imus,south-luzon,3
xentro,tanay-town-center,67,67,,Tanay Town Center,,56
xentro,xentro-mall-roxas,66,66,,XentroMall Roxas,,20
filinvest,fora,65,64,"food court (12), apparel (9), dining (9)",Fora Mall,south-luzon,19
megaworld,eastwood-cyber-mall,65,63,"services (27), dine (20), shop (18)",Eastwood Cyber Mall,,17
robinsons,robinsons-angeles,64,61,,Robinsons Angeles,north-luzon,23
xentro,mall-of-the-valley,64,64,,Mall Of The Valley,,24
starmall,edsa-shaw,64,64,"dining (25), shopping (23), services (12)",Starmall EDSA-Shaw,metro-manila,20
sm,sm-megacenter-cabanatuan,61,61,"cyberzone (18), dining (17), shopping (15)",SM Megacenter Cabanatuan,north-luzon,2
robinsons,robinsons-otis,60,60,,Robinsons Otis,metro-manila,26
filinvest,main-square,58,57,"government offices (12), dining (12), health, beauty and wellness (8)",Main Square,south-luzon,32
megaworld,lucky-chinatown-prosperity-wing,56,56,"dine (30), services (22), shop (4)",Lucky Chinatown - Prosperity Wing,,10
robinsons,robinsons-cainta,56,56,,Robinsons Cainta,metro-manila,13
sm,sm-city-san-fernando-downtown,56,55,"dining (22), cyberzone (18), shopping (8)",SM City San Fernando Downtown,north-luzon,3
xentro,ab-central,55,55,,Ab Central,,40
ayala,ayala-fairview-mall,53,53,"dine (22), shop (16), essentials (9)",Fairview Terraces,metro-manila,3
megaworld,san-lorenzo-place-mall,53,53,"dine (24), services (17), shop (12)",San Lorenzo Place Mall,,14
araneta,gateway-mall-2,50,50,,Gateway Mall 2,metro-manila,6
ayala,ayala-metropoint,50,44,"shop (15), dine (13), essentials (10)",Metro Point Mall,metro-manila,8
waltermart,dasmarinas,49,49,"shops (10), food choices (10), cybermart (10)",WalterMart Dasmariñas,south-luzon,6
robinsons,robinsons-los-banos,49,45,,Robinsons Town Mall Los Banos,south-luzon,9
robinsons,robinsons-cagayan-de-oro,49,47,,Robinsons Cagayan de Oro,mindanao,24
waltermart,makati,47,46,"shops (10), food choices (10), cybermart (10)",WalterMart Makati,metro-manila,5
waltermart,sta-maria,46,46,"shops (10), food choices (10), cybermart (10)",WalterMart Sta. Maria,north-luzon,1
xentro,northstar-mall,46,46,,Northstar Mall,,22
sm,smdc-light-mall,46,46,"dining (18), wellness (11), hobbies-and-specialty (6)",SMDC Light Mall,smdc,5
waltermart,north-edsa,45,45,"food choices (10), services (10), shops (10)",WalterMart North EDSA,metro-manila,6
ayala,ayala-one-bonifacio-high-street,45,40,"dine (20), shop (20), services (4)",One Bonifacio High Street,metro-manila,8
waltermart,gapan,45,45,"shops (10), services (10), cybermart (10)",WalterMart Gapan,north-luzon,8
megaworld,california-garden-square,45,45,"services (21), dine (17), shop (7)",California Garden Square,,21
waltermart,sucat,44,43,"shops (10), food choices (9), cybermart (9)",WalterMart Sucat,metro-manila,3
waltermart,antipolo,43,43,"shops (10), services (10), food choices (10)",WalterMart Antipolo,metro-manila,10
megaworld,festive-walk-parade,42,42,"dine (22), services (15), shop (4)",Festive Walk Parade,,29
waltermart,bicutan,42,42,"shops (10), food choices (10), cybermart (9)",WalterMart Bicutan,metro-manila,4
megaworld,mactan-newtown,42,42,"dine (22), services (13), shop (6)",Mactan Newtown,,17
waltermart,bacoor,42,42,"shops (10), food choices (10), services (10)",WalterMart Bacoor,south-luzon,4
waltermart,erodriguez,41,41,"shops (10), food choices (10), cybermart (9)",WalterMart E.Rodriguez,metro-manila,3
waltermart,guiguinto,41,41,"food choices (10), shops (9), cybermart (9)",WalterMart Guiguinto,north-luzon,5
waltermart,balayan,41,40,"shops (10), food choices (10), cybermart (10)",WalterMart Balayan,south-luzon,3
xentro,xentro-mall-tumauini,41,41,,XentroMall Tumauini,,11
xentro,morong-centerpoint,41,41,,Morong Centerpoint,,16
waltermart,subic,41,41,"shops (10), food choices (10), cybermart (9)",WalterMart Subic,north-luzon,1
megaworld,uptown-parade,41,41,"dine (22), services (11), experience (4)",Uptown Parade,,27
ayala,ayala-the-district-dasmarinas,40,34,"essentials (15), shop (11), dine (7)",The District Dasmarinas,south-luzon,6
robinsons,robinsons-luisita,40,39,,Robinsons Luisita,north-luzon,12
sm,sm-savemore-tacloban,40,39,"shopping (11), dining (11), cyberzone (9)",SM Savemore Tacloban,visayas,2
waltermart,plaridel,39,39,"shops (10), food choices (10), cybermart (7)",WalterMart Plaridel,north-luzon,5
waltermart,san-fernando,39,39,"shops (10), food choices (10), services (9)",WalterMart San Fernando,north-luzon,2
ortigas,tiendesitas,39,36,"1 (21), 4 (13)",Tiendesitas,metro-manila,23
waltermart,concepcion,39,39,"shops (10), cybermart (10), food choices (10)",WalterMart Concepcion,north-luzon,0
sm,sm-by-the-bay,39,38,"dining (36), shopping (2), entertainment (1)",SM By the Bay,metro-manila,16
waltermart,paniqui,39,39,"shops (10), food choices (10), cybermart (10)",WalterMart Paniqui,north-luzon,2
sm,smdc-jazz-mall,38,38,"dining (19), hobbies-and-specialty (4), food-beverages (4)",SMDC Jazz Mall,smdc,5
sm,sm-cherry-antipolo,38,38,"dining (11), shopping (9), services (4)",SM Center Antipolo Downtown,metro-manila,13
waltermart,taytay,38,37,"shops (10), food choices (10), services (10)",WalterMart Taytay,metro-manila,6
waltermart,sta-rosa,38,38,"shops (10), food choices (10), services (9)",WalterMart Sta. Rosa,south-luzon,5
megaworld,lucky-chinatown-imperial-wing,38,38,"dine (25), services (10), shop (3)",Lucky Chinatown - Imperial Wing,,19
megaworld,mckinley-west,38,34,"dine (21), services (12), shop (5)",McKinley West,,13
xentro,sta-ana-public-market,37,37,,Sta Ana Public Market,,19
waltermart,nasugbu,37,37,"shops (10), food choices (10), cybermart (9)",WalterMart Nasugbu,south-luzon,0
sm,sm-cherry-shaw,37,36,"dining (14), wellness (9), hobbies-and-specialty (4)",SM Center Shaw,metro-manila,12
ayala,ayala-serendra,37,36,"dine (19), essentials (7), shop (6)",Shops at Serendra,metro-manila,15
ortigas,the-strip,36,22,"1 (12), 4 (10), 9 (1)",The Strip,metro-manila,13
waltermart,balanga,35,35,"shops (10), food choices (10), cybermart (7)",WalterMart Balanga,north-luzon,3
waltermart,general-trias,34,34,"shops (10), food choices (9), cybermart (5)",WalterMart General Trias,south-luzon,2
robinsons,robinsons-tagaytay,34,32,,Robinsons Tagaytay,south-luzon,9
waltermart,baliwag,34,33,"shops (10), food choices (10), services (5)",WalterMart Baliwag,north-luzon,2
waltermart,tanauan,34,34,"shops (10), food choices (10), services (5)",WalterMart Tanauan,south-luzon,3
megaworld,alabang-west-parade,34,34,"dine (19), services (8), shop (7)",Alabang West Parade,,23
waltermart,naic,34,34,"shops (10), food choices (10), cybermart (8)",WalterMart Naic,south-luzon,3
waltermart,arayat,33,33,"shops (10), food choices (9), cybermart (7)",WalterMart Arayat,north-luzon,3
waltermart,malolos,33,33,"food choices (10), shops (9), wellness (5)",WalterMart Malolos,north-luzon,4
waltermart,san-jose,33,33,"shops (10), food choices (10), cybermart (8)",WalterMart San Jose,north-luzon,0
megaworld,paseo-center,33,33,"dine (23), shop (5), services (5)",Paseo Center,,9
waltermart,caloocan,32,32,"shops (9), food choices (8), services (5)",WalterMart Caloocan,metro-manila,2
waltermart,muntinlupa,32,32,"shops (10), food choices (10), services (6)",WalterMart Muntinlupa,metro-manila,3
megaworld,greenhouse-village-square,32,32,"dine (15), services (11), shop (6)",The Greenhouse at Village Square,,13
waltermart,makiling,32,32,"shops (10), food choices (9), services (7)",WalterMart Makiling,south-luzon,6
xentro,xentro-mall-cabagan,32,32,,XentroMall Cabagan,,23
waltermart,pasay,32,32,"shops (10), food choices (10), wellness (6)",WalterMart Pasay,metro-manila,4
waltermart,trece-martires,31,31,"shops (10), food choices (10), services (7)",WalterMart Trece Martires,south-luzon,4
waltermart,macapagal,30,30,"shops (10), food choices (10), services (4)",WalterMart Macapagal,metro-manila,2
sm,moa-square,30,30,"shopping (11), dining (11), home (4)",MOA Square,metro-manila,15
megaworld,arcovia-city,29,29,"dine (21), shop (4), services (4)",Arcovia City,,8
waltermart,cabanatuan,29,29,"food choices (10), shops (9), services (6)",WalterMart Cabanatuan,north-luzon,0
sm,smdc-mplace-mall,28,28,"dining (8), wellness (5), shopping (4)",SMDC Mplace Mall,smdc,8
filinvest,dumaguete,27,27,"dining / food (kiosk / carts) (6), dining (5), telecoms / computers / electronics (5)",Filinvest Malls Dumaguete,visayas,10
xentro,shopking,27,27,,Shopking,,15
waltermart,capas,27,27,"food choices (10), shops (7), cybermart (5)",WalterMart Capas,north-luzon,1
waltermart,candelaria,26,26,"food choices (10), cybermart (10), shops (4)",WalterMart Candelaria,south-luzon,5
sm,smdc-strip-at-mezza,25,25,"dining (14), wellness (5), hobbies-and-specialty (3)",SMDC Strip at Mezza,smdc,4
sm,sm-cherry-congressional,25,25,"dining (7), wellness (6), hobbies-and-specialty (6)",SM Center Congressional,metro-manila,1
robinsons,robinsons-cybergate-davao,24,24,,Robinsons Cybergate Davao,mindanao,10
sm,smdc-sun-mall,24,24,"wellness (7), hobbies-and-specialty (4), dining (4)",SMDC Sun Mall,smdc,4
sm,smdc-fame-mall,23,23,"dining (9), services (4), groceries (3)",SMDC Fame Mall,smdc,8
sm,sm-savemore-apalit,23,23,"cyberzone (9), shopping (6), dining (6)",SM Savemore Apalit,north-luzon,2
sm,smdc-grace-mall,23,23,"dining (12), wellness (6), hobbies-and-specialty (2)",SMDC Grace Mall,smdc,5
sm,smdc-air-mall,23,23,"dining (12), wellness (6), services (3)",SMDC Air Mall,smdc,9
waltermart,the-junction,23,23,"shops (7), food choices (7), cybermart (5)",WalterMart The Junction,metro-manila,3
waltermart,batangas-city,22,22,"food choices (10), shops (7), cybermart (3)",WalterMart Batangas City,south-luzon,1
waltermart,cabuyao,22,22,"food choices (10), shops (5), services (3)",WalterMart Cabuyao,south-luzon,3
waltermart,carmona,21,21,"food choices (10), shops (6), wellness (3)",WalterMart Carmona,south-luzon,2
sm,sm-savemore-nagtahan,21,19,"dining (6), cyberzone (5), wellness (3)",SM Savemore Nagtahan,metro-manila,2
robinsons,the-plaza,19,19,"dine (11), shop (7), recharge (1)",The Plaza Bagong Silang,metro-manila,1
xentro,ilagan-city-mall-isabela,19,19,,Ilagan City Mall Isabela,,9
filinvest,il-corso,19,19,"dining (15), health, beauty and wellness (4)",IL Corso,visayas,14
xentro,xentro-mall-san-andres,17,17,,XentroMall San Andres,,12
waltermart,sta-rosa-bel-air,17,17,"food choices (9), shops (4), services (2)",WalterMart Sta. Rosa Bel-Air,south-luzon,1
sm,smdc-strip-at-grass,17,17,"dining (7), wellness (4), hobbies-and-specialty (3)",SMDC Strip at Grass,smdc,5
megaworld,twin-lakes,16,15,"dine (12), services (3), shop (1)",Twin Lakes,,3
sm,sm-marketmall-dasmarinas,16,16,"shopping (4), dining (3), cyberzone (3)",SM Marketmall Dasmarinas,south-luzon,6
sm,sm-hypermarket-sucat-lopez,16,16,"dining (9), cyberzone (2), atm (1)",SM Hypermarket Sucat Lopez,metro-manila,2
waltermart,talavera,15,15,"shops (4), food choices (4), cybermart (4)",WalterMart Talavera,north-luzon,0
sm,smdc-strip-at-sea,15,15,"hobbies-and-specialty (4), wellness (4), dining (4)",SMDC Strip at Sea,smdc,5
sm,smdc-strip-at-shore,15,15,"dining (7), wellness (4), hobbies-and-specialty (2)",SMDC Strip at Shore,smdc,8
megaworld,three-central,14,14,"services (7), dine (4), shop (3)",Three Central Mall,,6
megaworld,clubhouse-temple-drive,14,14,"dine (6), services (5), shop (3)",The Clubhouse at Temple Drive,,6
sm,sm-hypermarket-lapulapu,13,13,"dining (5), wellness (3), cyberzone (2)",SM Hypermarket Lapu-Lapu,visayas,1
sm,smdc-breeze-mall,11,11,"hobbies-and-specialty (3), wellness (2), dining (2)",SMDC Breeze Mall,smdc,7
starmall,talisay,10,10,"dining (5), shopping (3), services (2)",Starmall Talisay Cebu,visayas,2
sm,nu-mall-of-asia-building,9,9,"dining (5), groceries (1), entertainment (1)",NU MALL OF ASIA BUILDING,metro-manila,6
sm,wind-residences,8,8,"hobbies-and-specialty (2), dining (2), groceries (1)",Wind Residences,smdc,0
sm,smdc-strip-at-trees,7,7,"dining (4), groceries (1), wellness (1)",SMDC Strip at Trees,smdc,2
sm,mall-of-asia-arena-annex-bldg,7,7,"dining (5), groceries (1), hobbies-and-specialty (1)",Mall Of Asia Arena Annex Bldg,metro-manila,0
sm,smdc-green-mall,6,6,"dining (4), shopping (1), wellness (1)",SMDC Green Mall,smdc,0
sm,smdc-strip-at-shell,5,5,"groceries (2), atm (1), dining (1)",SMDC Strip at Shell,smdc,2
sm,smdc-strip-at-blue,5,5,"hobbies-and-specialty (3), dining (1), wellness (1)",SMDC Strip at Blue,smdc,2
sm,smdc-strip-at-princeton,4,4,"groceries (1), hobbies-and-specialty (1), atm (1)",SMDC Strip at Princeton,smdc,1
sm,smdc-strip-at-shine,2,2,"groceries (1), wellness (1)",SMDC Strip at Shine,smdc,1
sm,smdc-strip-at-berkeley,2,2,"atm (1), shopping (1)",SMDC Strip at Berkeley,smdc,0
sm,smby-amusement-park,1,1,entertainment (1),SMBY Amusement Park,others,1
sm,sky-ranch-baguio,1,1,entertainment (1),Sky Ranch Baguio,others,0
sm,sky-ranch-pampanga,1,1,entertainment (1),Sky Ranch Pampanga,others,0
sm,sky-ranch-tagaytay,1,1,entertainment (1),Sky Ranch Tagaytay,others,0
