brand_key,display_name,chain,mall_id,mall_name,region
camella condo homes,CAMELLA CONDO HOMES,starmall,alabang,Starmall Alabang,metro-manila
camella homes,Camella Homes,gmall,gmall-of-davao,GMall of Davao,mindanao
camella north border,CAMELLA NORTH BORDER,xentro,balagtas-town-center,Balagtas Town Center,
camera haus,Camera Haus,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
cancio,CANCIO,sm,sm-megamall,SM Megamall,metro-manila
camerahaus fujifilm,CAMERAHAUS / FUJIFILM,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
camp jump,CAMP JUMP,sm,sm-city-puerto-princesa,SM City Puerto Princesa,south-luzon
can diagnosis center,CAN DIAGNOSIS CENTER,robinsons,galleria-south,Robinsons Galleria South,south-luzon
canadian immigration consultancy,CANADIAN IMMIGRATION CONSULTANCY,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
cancer and multi specialty clinic,Cancer And Multi-Specialty Clinic,robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas
cancer and multispecialty center dr ellen gasendo,Cancer and Multispecialty Center Dr. Ellen Gasendo 0932-494-3147,robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas
cara laser skin care,CARA LASER SKIN CARE,ayala,ayala-up-town-center,U. P. Town Center,metro-manila
cara mia cakes & gelato,CARA MIA CAKES & GELATO,sm,sm-city-san-pablo,SM City San Pablo,south-luzon
caracole,Caracole,ortigas,greenhills,Greenhills,metro-manila
carry thru cs 1,CARRY THRU CS-1,xentro,xentro-mall-roxas,XentroMall Roxas,
carlos primo velayo,CARLOS PRIMO VELAYO,ayala,ayala-glorietta,Glorietta,metro-manila
carmelas home favourite,CARMELAS HOME FAVOURITE,robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao
carmens best,Carmen's Best,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
carolina herrera,CAROLINA HERRERA,ayala,ayala-greenbelt,Greenbelt,metro-manila
carolinas lace shoppe,CAROLINA'S LACE SHOPPE,ayala,ayala-market-market,Market! Market!,metro-manila
carrensline,Carrensline,ortigas,greenhills,Greenhills,metro-manila
carry thru iguanas,CARRY THRU IGUANAS,xentro,xentro-mall-santiago,XentroMall Santiago,
carlitos bar and grill,CARLITO'S BAR AND GRILL,xentro,montalban-town-center,Montalban Town Center,
carters,CARTERS,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
carters osh kosh b gosh,Carter's Osh Kosh B' Gosh,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
cartier,CARTIER,ayala,ayala-greenbelt,Greenbelt,metro-manila
cartrick,Cartrick,robinsons,robinsons-pangasinan,Robinsons Place Pangasinan,north-luzon
carwash,CARWASH,xentro,morong-centerpoint,Morong Centerpoint,
casa blanca,Casa Blanca,filinvest,festival-mall,Festival Mall,metro-manila
carlos bakeshop & cafe,Carlos Bakeshop & Cafe,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
carlins flowershop,CARLINS FLOWERSHOP,sm,sm-city-davao,SM City Davao,mindanao
caramel cafe,CARAMEL CAFE,sm,sm-city-daet,SM City Daet,south-luzon
care to bear skin and body clinic,CARE TO BEAR SKIN AND BODY CLINIC,ayala,ayala-marquee,MarQuee Mall,north-luzon
caramia cakes gelato,CARAMIA CAKES GELATO,sm,sm-city-san-jose-del-monte,SM City San Jose Del Monte,north-luzon
caravel global travelware,Caravel Global Travelware,ortigas,greenhills,Greenhills,metro-manila
card stop,Card Stop,gmall,gmall-of-davao,GMall of Davao,mindanao
cardinal eyecare clinic,CARDINAL EYECARE CLINIC,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
cardinal santos kidney care center,CARDINAL SANTOS KIDNEY CARE CENTER,sm,sm-cherry-shaw,SM Center Shaw,metro-manila
care and cure hub,CARE AND CURE HUB,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
carehealth,Carehealth,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
carlins flower shop,Carlin's Flower Shop,gmall,gmall-of-davao,GMall of Davao,mindanao
carehealth plus,CAREHEALTH PLUS,starmall,alabang,Starmall Alabang,metro-manila
carel kanes cp,CAREL KANES CP,xentro,mall-of-the-valley,Mall Of The Valley,
carelab,Carelab,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
carelon,Carelon,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
cargofish & burnt bamboo,CargoFish & Burnt Bamboo,megaworld,uptown-mall,Uptown Mall,
carl care services,Carl Care Services,robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon
cell sight,Cell Sight,robinsons,robinsons-roxas,Robinsons Place Roxas,visayas
cellbox,CELLBOX,ayala,ayala-abreeza,Abreeza,mindanao
